order_id,customer_id,employee_id,order_date,total_amount,order_status,payment_status
1,54,18,2024-03-30,115412.54,Shipped,Paid
2,859,3,2025-01-23,80568.98,Shipped,Refunded
3,873,4,2024-06-12,20517.24,Cancelled,Refunded
4,719,16,2024-06-16,549.08,Delivered,Paid
5,900,39,2025-01-21,10759.65,Shipped,Failed
6,105,3,2024-04-04,100170.25,Packed,Paid
7,299,28,2025-08-10,71694.91,Delivered,Paid
8,788,20,2024-12-17,78393.56,Delivered,Pending
9,841,39,2025-10-16,79202.65,Shipped,Paid
10,408,50,2025-10-23,77058.51,Returned,Failed
11,534,43,2025-03-05,56365.26,Placed,Pending
12,744,6,2025-05-13,98813.36,Packed,Refunded
13,346,36,2025-02-04,132622.2,Returned,Failed
14,397,37,2024-12-10,2740.37,Cancelled,Paid
15,852,41,2025-01-07,2219.53,Shipped,Pending
16,416,35,2025-05-28,108632.13,Placed,Refunded
17,507,49,2025-10-07,108128.0,Cancelled,Failed
18,182,10,2025-07-03,66841.08,Delivered,Paid
19,11,9,2025-04-12,29217.79,Shipped,Refunded
20,702,18,2025-03-20,95249.62,Placed,Paid
21,633,5,2025-06-06,53452.05,Placed,Paid
22,444,1,2025-07-02,56804.96,Cancelled,Failed
23,30,21,2024-09-25,143378.14,Placed,Refunded
24,425,23,2024-01-25,95977.09,Packed,Failed
25,66,46,2025-11-26,21853.58,Returned,Pending
26,762,6,2025-10-04,8855.79,Cancelled,Failed
27,551,20,2024-05-29,137084.12,Shipped,Failed
28,378,9,2025-07-01,146246.93,Cancelled,Paid
29,645,11,2025-08-26,58120.44,Placed,Pending
30,466,43,2024-01-22,52625.44,Returned,Failed
31,312,28,2024-01-29,24038.2,Shipped,Pending
32,352,33,2024-04-17,81954.57,Shipped,Pending
33,915,37,2024-12-14,14199.77,Cancelled,Pending
34,209,21,2024-09-27,59905.47,Cancelled,Paid
35,980,13,2025-06-01,30164.25,Placed,Pending
36,275,37,2024-08-24,13038.56,Shipped,Paid
37,350,36,2025-07-04,20279.24,Cancelled,Pending
38,805,31,2025-05-19,109664.61,Placed,Refunded
39,731,37,2025-05-12,51275.45,Packed,Pending
40,625,41,2024-01-07,134770.66,Cancelled,Failed
41,352,45,2025-08-21,18609.88,Placed,Refunded
42,883,30,2025-01-05,143665.15,Delivered,Refunded
43,368,14,2025-04-04,51651.43,Packed,Pending
44,392,4,2025-02-28,56487.04,Shipped,Pending
45,877,36,2025-01-20,55466.39,Shipped,Paid
46,931,17,2025-05-29,123024.27,Shipped,Paid
47,967,25,2024-02-22,88019.14,Shipped,Paid
48,477,37,2024-11-28,36627.28,Delivered,Refunded
49,862,29,2025-07-30,85856.28,Packed,Failed
50,514,37,2024-10-08,50774.93,Placed,Pending
51,127,2,2025-03-14,99132.3,Returned,Pending
52,489,35,2024-02-13,70704.57,Cancelled,Pending
53,334,24,2024-08-14,89773.86,Placed,Failed
54,517,39,2024-10-22,105950.31,Placed,Refunded
55,748,25,2024-08-21,103291.69,Placed,Refunded
56,292,11,2025-03-02,53835.92,Placed,Paid
57,509,44,2024-06-17,29975.85,Shipped,Pending
