review_id,customer_id,product_id,rating,review_text,review_date
1,449,97,2.8,Excellent product quality.,2024-03-13
2,400,398,1.3,Satisfied with the purchase.,2024-02-28
3,899,137,3.6,Battery life is impressive.,2025-09-06
4,314,185,2.3,Satisfied with the purchase.,2024-03-06
5,952,19,3.3,Excellent product quality.,2025-01-21
6,119,48,3.4,Satisfied with the purchase.,2024-06-21
7,924,451,1.4,Highly recommended.,2024-08-11
8,124,398,3.2,Packaging was good.,2025-03-20
9,298,389,1.9,Very comfortable.,2025-11-03
10,410,436,1.6,Packaging was good.,2024-10-27
11,198,491,3.0,Very comfortable.,2024-03-25
12,768,108,3.1,Not as expected.,2025-10-23
13,120,374,3.6,Satisfied with the purchase.,2024-01-23
14,629,208,1.6,Fast delivery.,2025-08-30
15,966,47,3.4,Average quality.,2024-04-09
16,200,23,2.4,Worth the price.,2025-07-23
17,835,181,2.3,Highly recommended.,2024-07-14
18,19,122,3.2,Worth the price.,2024-09-19
19,771,50,3.0,Satisfied with the purchase.,2024-08-21
20,638,181,3.2,Worth the price.,2025-05-28
21,626,253,4.8,Excellent product quality.,2024-09-13
22,918,421,3.0,Not as expected.,2024-05-18
23,141,6,1.8,Highly recommended.,2025-03-22
24,451,48,2.8,Worth the price.,2025-11-16
25,523,53,3.9,Very comfortable.,2024-09-14
26,433,293,2.6,Not as expected.,2024-04-21
27,547,400,3.2,Packaging was good.,2025-09-23
28,785,220,4.3,Worth the price.,2024-01-18
29,903,478,5.0,Fast delivery.,2024-08-30
30,16,13,4.6,Battery life is impressive.,2024-05-20
31,272,230,1.1,Average quality.,2025-08-07
32,702,241,1.5,Highly recommended.,2024-08-30
33,243,328,3.2,Excellent product quality.,2024-11-23
34,805,256,3.0,Very comfortable.,2024-06-17
35,945,215,1.9,Satisfied with the purchase.,2024-10-19
36,708,448,3.8,Fast delivery.,2024-10-03
37,73,101,4.2,Packaging was good.,2024-11-12
38,889,432,1.1,Excellent product quality.,2024-12-25
39,350,17,4.6,Fast delivery.,2024-03-16
40,343,415,1.6,Packaging was good.,2025-03-11
41,499,337,1.1,Battery life is impressive.,2025-10-07
42,178,300,1.4,Packaging was good.,2024-08-01
43,39,126,1.0,Battery life is impressive.,2024-06-11
44,386,408,1.6,Worth the price.,2024-12-06
45,111,326,3.2,Excellent product quality.,2025-11-05
46,621,342,2.7,Excellent product quality.,2024-02-19
47,431,232,4.9,Worth the price.,2024-02-25
48,44,476,1.7,Very comfortable.,2025-06-28
49,835,2,2.1,Very comfortable.,2025-07-03
50,738,415,1.0,Satisfied with the purchase.,2024-12-08
51,766,306,1.1,Excellent product quality.,2025-10-15
52,757,193,1.2,Battery life is impressive.,2024-06-09
53,149,65,2.8,Packaging was good.,2024-07-17
54,777,251,3.9,Satisfied with the purchase.,2024-05-18
55,184,481,1.8,Worth the price.,2025-07-28
56,647,369,3.0,Very comfortable.,2024-04-29
57,504,127,1.0,Fast delivery.,2025-09-24
58,748,195,1.0,Very comfortable.,2024-03-03
59,956,305,4.3,Battery life is impressive.,2024-09-07
60,452,351,1.6,Worth the price.,2024-05-31
61,214,341,1.7,Average quality.,2025-06-01
62,954,395,4.2,Very comfortable.,2025-07-15
63,805,14,3.6,Battery life is impressive.,2025-08-30
64,683,197,4.1,Highly recommended.,2025-08-19
65,988,262,1.2,Fast delivery.,2024-11-07
66,999,493,4.8,Fast delivery.,2024-03-16
67,656,246,2.7,Average quality.,2025-05-13
68,144,25,3.6,Battery life is impressive.,2025-07-20
69,761,52,3.1,Battery life is impressive.,2024-03-20
70,486,213,3.1,Battery life is impressive.,2024-06-25
71,572,312,1.6,Worth the price.,2025-02-03
72,623,227,3.9,Worth the price.,2025-01-11
73,885,181,3.2,Not as expected.,2024-05-13
74,624,14,1.8,Fast delivery.,2024-03-11
75,491,270,1.8,Average quality.,2024-07-17
76,838,465,1.6,Average quality.,2025-04-19
77,666,167,4.0,Average quality.,2024-08-25
78,60,303,4.1,Very comfortable.,2025-03-04
79,18,340,3.0,Battery life is impressive.,2025-07-04
80,807,36,1.4,Satisfied with the purchase.,2024-08-21
81,320,314,3.1,Battery life is impressive.,2025-09-13
82,280,298,1.8,Worth the price.,2025-08-04
83,295,252,2.8,Not as expected.,2024-10-09
84,333,474,4.0,Highly recommended.,2024-09-05
85,364,103,4.6,Not as expected.,2024-01-27
86,458,284,4.0,Average quality.,2025-10-05
87,669,81,2.0,Satisfied with the purchase.,2025-03-08
88,204,102,2.7,Not as expected.,2025-06-15
89,965,496,4.4,Not as expected.,2024-03-03
90,389,334,2.7,Packaging was good.,2024-09-25
91,847,369,1.5,Not as expected.,2024-03-10
92,772,51,4.7,Very comfortable.,2025-02-21
93,687,10,3.2,Average quality.,2025-11-23
94,986,454,4.4,Not as expected.,2025-08-28
