shipment_id,order_id,shipment_date,delivery_date,shipping_company,shipping_status
1,1,2024-07-24,2024-07-26,Ekart,Shipped
2,2,2024-09-25,2024-10-02,Ekart,Processing
3,3,2024-01-20,2024-01-27,India Post,Out for Delivery
4,4,2024-07-20,2024-07-21,India Post,Delivered
5,5,2025-10-29,2025-10-31,India Post,Returned
6,6,2025-08-27,2025-08-28,India Post,Delivered
7,7,2024-06-30,2024-07-03,XpressBees,Out for Delivery
8,8,2025-06-21,2025-06-28,Delhivery,Returned
9,9,2024-01-02,2024-01-09,Blue Dart,Shipped
10,10,2024-03-07,2024-03-11,DTDC,Returned
11,11,2025-05-18,2025-05-25,Shadowfax,Delivered
12,12,2024-10-14,2024-10-17,Ekart,Processing
13,13,2025-03-26,2025-03-31,XpressBees,Processing
14,14,2024-02-27,2024-02-28,Blue Dart,Out for Delivery
15,15,2025-04-11,2025-04-15,India Post,Shipped
16,16,2025-07-23,2025-07-27,Blue Dart,Processing
17,17,2024-04-04,2024-04-11,DTDC,Processing
18,18,2025-08-17,2025-08-20,DTDC,Out for Delivery
19,19,2024-07-10,2024-07-15,India Post,Out for Delivery
20,20,2025-05-08,2025-05-15,XpressBees,Returned
21,21,2025-05-12,2025-05-18,Shadowfax,Out for Delivery
22,22,2025-06-01,2025-06-06,XpressBees,Returned
23,23,2024-05-09,2024-05-13,India Post,Delivered
24,24,2024-08-20,2024-08-22,India Post,Returned
25,25,2024-08-10,2024-08-12,India Post,Processing
26,26,2024-08-19,2024-08-20,Blue Dart,Shipped
27,27,2024-08-05,2024-08-09,Ekart,Shipped
28,28,2024-05-05,2024-05-07,Ekart,Returned
29,29,2025-04-28,2025-04-29,India Post,Processing
30,30,2024-05-21,2024-05-24,Ekart,Returned
31,31,2024-10-23,2024-10-24,XpressBees,Shipped
32,32,2025-04-20,2025-04-24,DTDC,Delivered
33,33,2025-08-26,2025-09-02,Delhivery,Processing
34,34,2024-09-09,2024-09-10,Delhivery,Processing
35,35,2024-08-26,2024-08-28,Shadowfax,Processing
36,36,2025-06-29,2025-07-04,Shadowfax,Returned
37,37,2024-04-18,2024-04-20,Shadowfax,Delivered
38,38,2025-03-23,2025-03-24,XpressBees,Delivered
39,39,2024-01-07,2024-01-10,Blue Dart,Shipped
40,40,2025-01-31,2025-02-04,Ekart,Processing
41,41,2024-11-14,2024-11-18,DTDC,Processing
42,42,2025-03-02,2025-03-05,XpressBees,Processing
43,43,2024-09-05,2024-09-10,XpressBees,Out for Delivery
44,44,2024-03-25,2024-03-28,India Post,Out for Delivery
45,45,2024-08-05,2024-08-09,Ekart,Delivered
46,46,2025-10-06,2025-10-12,Shadowfax,Shipped
47,47,2025-03-07,2025-03-08,XpressBees,Processing
48,48,2024-10-12,2024-10-19,Blue Dart,Processing
49,49,2024-03-18,2024-03-24,Delhivery,Out for Delivery
50,50,2024-06-12,2024-06-16,Blue Dart,Shipped
51,51,2025-10-30,2025-10-31,XpressBees,Returned
52,52,2024-05-15,2024-05-17,India Post,Processing
53,53,2024-05-28,2024-05-30,DTDC,Out for Delivery
54,54,2024-07-28,2024-08-01,Ekart,Delivered
55,55,2024-10-03,2024-10-08,XpressBees,Returned
56,56,2024-07-25,2024-07-31,Shadowfax,Processing
57,57,2024-03-29,2024-04-05,Blue Dart,Returned
58,58,2025-06-20,2025-06-25,Ekart,Shipped
59,59,2024-04-05,2024-04-12,Shadowfax,Delivered
60,60,2025-08-10,2025-08-12,Blue Dart,Returned
61,61,2025-05-09,2025-05-16,India Post,Shipped
62,62,2025-05-20,2025-05-27,Delhivery,Shipped
63,63,2025-07-05,2025-07-09,XpressBees,Returned
64,64,2025-08-28,2025-09-04,Shadowfax,Out for Delivery
65,65,2025-10-22,2025-10-27,Delhivery,Shipped
66,66,2025-08-14,2025-08-17,Blue Dart,Processing
67,67,2025-05-27,2025-05-30,Delhivery,Processing
68,68,2025-11-03,2025-11-10,India Post,Processing
69,69,2025-02-12,2025-02-13,India Post,Out for Delivery
70,70,2025-04-20,2025-04-27,XpressBees,Delivered
71,71,2024-07-29,2024-08-02,India Post,Out for Delivery
72,72,2025-09-07,2025-09-12,Blue Dart,Returned
73,73,2025-02-20,2025-02-23,XpressBees,Delivered
74,74,2024-07-04,2024-07-06,DTDC,Delivered
75,75,2025-08-10,2025-08-13,DTDC,Returned
76,76,2024-09-16,2024-09-22,XpressBees,Shipped
77,77,2024-12-01,2024-12-05,Delhivery,Returned
78,78,2024-07-05,2024-07-08,XpressBees,Out for Delivery
79,79,2025-03-27,2025-04-02,Delhivery,Processing
80,80,2025-07-14,2025-07-16,India Post,Processing
81,81,2025-08-06,2025-08-11,Shadowfax,Shipped
82,82,2024-06-13,2024-06-19,India Post,Out for Delivery
83,83,2024-07-22,2024-07-24,XpressBees,Processing
84,84,2024-06-07,2024-06-12,Delhivery,Shipped
85,85,2025-10-13,2025-10-18,Ekart,Delivered
86,86,2024-10-12,2024-10-17,Shadowfax,Delivered
87,87,2024-09-30,2024-10-05,XpressBees,Shipped
88,88,2024-12-28,2025-01-03,DTDC,Delivered
89,89,2024-07-26,2024-07-29,Blue Dart,Delivered
90,90,2024-12-13,2024-12-20,India Post,Out for Delivery
91,91,2024-06-26,2024-06-28,Ekart,Shipped
92,92,2024-06-20,2024-06-24,DTDC,Returned
93,93,2025-03-16,2025-03-18,XpressBees,Processing
94,94,2025-04-04,2025-04-07,DTDC,Out for Delivery
95,95,2025-05-03,2025-05-10,Shadowfax,Returned
96,96,2024-08-14,2024-08-15,Blue Dart,Delivered
97,97,2024-02-25,2024-02-26,Shadowfax,Delivered
98,98,2024-04-14,2024-04-15,DTDC,Shipped
99,99,2025-11-05,2025-11-10,India Post,Shipped
100,100,2024-02-05,2024-02-08,XpressBees,Delivered
101,101,2024-06-30,2024-07-06,XpressBees,Delivered
102,102,2024-03-10,2024-03-14,Shadowfax,Out for Delivery
103,103,2024-04-22,2024-04-23,Blue Dart,Out for Delivery
104,104,2025-01-02,2025-01-06,XpressBees,Shipped
105,105,2025-05-20,2025-05-25,DTDC,Returned
106,106,2025-02-06,2025-02-09,XpressBees,Shipped
107,107,2024-03-06,2024-03-09,XpressBees,Returned
108,108,2024-05-06,2024-05-08,Blue Dart,Delivered
109,109,2024-07-28,2024-07-30,Delhivery,Processing
110,110,2025-05-07,2025-05-10,India Post,Returned
111,111,2024-04-29,2024-04-30,XpressBees,Processing
112,112,2024-02-11,2024-02-13,Shadowfax,Out for Delivery
113,113,2024-06-26,2024-07-01,XpressBees,Delivered
114,114,2024-08-23,2024-08-25,Delhivery,Delivered
115,115,2024-03-08,2024-03-12,Ekart,Returned
116,116,2025-05-03,2025-05-08,Blue Dart,Shipped
117,117,2025-06-12,2025-06-19,XpressBees,Shipped
118,118,2025-01-09,2025-01-12,XpressBees,Processing
119,119,2025-08-20,2025-08-25,DTDC,Returned
120,120,2024-04-25,2024-04-28,XpressBees,Shipped
121,121,2025-05-24,2025-05-28,Delhivery,Processing
122,122,2024-06-14,2024-06-17,Shadowfax,Returned
123,123,2025-05-19,2025-05-22,Delhivery,Out for Delivery
124,124,2025-09-04,2025-09-06,XpressBees,Returned
125,125,2024-02-09,2024-02-13,Shadowfax,Out for Delivery
126,126,2025-05-01,2025-05-05,Blue Dart,Returned
127,127,2024-07-15,2024-07-20,DTDC,Shipped
128,128,2024-10-14,2024-10-15,India Post,Delivered
129,129,2024-06-13,2024-06-18,DTDC,Returned
130,130,2024-04-14,2024-04-17,Blue Dart,Out for Delivery
131,131,2024-10-10,2024-10-17,Delhivery,Out for Delivery
132,132,2024-05-10,2024-05-14,XpressBees,Delivered
133,133,2024-10-01,2024-10-05,Delhivery,Processing
134,134,2024-11-05,2024-11-09,Ekart,Delivered
135,135,2024-08-02,2024-08-07,DTDC,Out for Delivery
136,136,2024-01-01,2024-01-03,Delhivery,Shipped
137,137,2024-08-27,2024-08-30,Delhivery,Processing
138,138,2025-05-28,2025-06-03,Shadowfax,Returned
139,139,2024-11-06,2024-11-12,DTDC,Out for Delivery
140,140,2025-08-16,2025-08-21,Shadowfax,Shipped
141,141,2025-08-23,2025-08-30,Delhivery,Out for Delivery
142,142,2025-04-22,2025-04-25,XpressBees,Delivered
143,143,2024-12-15,2024-12-22,India Post,Shipped
144,144,2024-07-25,2024-07-28,Shadowfax,Out for Delivery
145,145,2024-09-29,2024-10-03,XpressBees,Shipped
146,146,2025-03-01,2025-03-04,DTDC,Out for Delivery
147,147,2024-11-01,2024-11-04,Delhivery,Returned
148,148,2024-04-11,2024-04-12,India Post,Shipped
149,149,2024-02-29,2024-03-03,Delhivery,Returned
150,150,2024-06-12,2024-06-18,DTDC,Shipped
151,151,2025-05-18,2025-05-20,Shadowfax,Returned
152,152,2024-03-04,2024-03-08,Delhivery,Delivered
153,153,2025-08-12,2025-08-19,India Post,Out for Delivery
154,154,2025-07-21,2025-07-23,Shadowfax,Returned
155,155,2025-07-03,2025-07-10,Delhivery,Processing
156,156,2024-06-22,2024-06-29,Shadowfax,Shipped
157,157,2024-06-01,2024-06-07,Delhivery,Returned
158,158,2024-04-13,2024-04-18,Blue Dart,Returned
159,159,2025-06-10,2025-06-15,Blue Dart,Delivered
160,160,2024-11-12,2024-11-19,Delhivery,Out for Delivery
161,161,2025-08-31,2025-09-02,DTDC,Returned
162,162,2025-04-29,2025-05-04,Ekart,Shipped
163,163,2024-03-14,2024-03-20,XpressBees,Processing
164,164,2024-03-18,2024-03-20,XpressBees,Out for Delivery
165,165,2024-05-12,2024-05-16,India Post,Processing
166,166,2025-08-28,2025-08-31,XpressBees,Out for Delivery
167,167,2024-03-09,2024-03-10,Shadowfax,Out for Delivery
168,168,2025-04-05,2025-04-09,Delhivery,Shipped
169,169,2025-02-21,2025-02-22,Ekart,Delivered
170,170,2024-04-22,2024-04-28,Blue Dart,Out for Delivery
171,171,2024-12-22,2024-12-25,Shadowfax,Delivered
172,172,2024-06-11,2024-06-15,XpressBees,Returned
173,173,2025-07-02,2025-07-07,Shadowfax,Delivered
174,174,2025-04-23,2025-04-30,DTDC,Processing
175,175,2024-02-10,2024-02-17,Blue Dart,Out for Delivery
176,176,2024-10-12,2024-10-14,XpressBees,Returned
177,177,2025-02-21,2025-02-24,Blue Dart,Returned
